transaction_id,sale_date,product_id,quantity_units_sold,price_per_unit_at_sale_INR,tax_percentage,discount_percentage,line_total_before_tax_discount,tax_amount,discount_amount,final_line_total_INR,payment_method
TR0000094,2024-04-02,P099,3,120.85,5,4.48,362.55,17.32,16.24,363.63,Cash
TR0000095,2024-04-02,P050,2,43.95,12,2.38,87.9,10.3,2.09,96.11,Cash
TR0000096,2024-04-02,P091,6,69.98,5,0.71,419.88,20.84,2.98,437.74,UPI
TR0000097,2024-04-02,P007,6,167.31,12,3.54,1003.86,116.2,35.54,1084.52,Cash
TR0000098,2024-04-02,P079,6,109.27,12,4.93,655.62,74.8,32.32,698.1,Card
TR0000099,2024-04-02,P036,4,149.81,5,1.53,599.24,29.5,9.17,619.57,Cash
TR0000100,2024-04-02,P078,3,91.69,5,0.38,275.07,13.7,1.05,287.72,Cash
TR0000101,2024-04-03,P099,1,115.24,12,2.77,115.24,13.45,3.19,125.5,Card
TR0000102,2024-04-03,P002,4,48.32,5,2.4,193.28,9.43,4.64,198.07,UPI
TR0000103,2024-04-03,P094,6,433.12,5,3.08,2598.72,125.93,80.04,2644.61,UPI
TR0000104,2024-04-03,P080,6,141.46,12,1.22,848.76,100.61,10.35,939.02,UPI
TR0000105,2024-04-03,P093,6,391.82,12,4.82,2350.92,268.51,113.31,2506.12,UPI
TR0000106,2024-04-03,P093,2,374.99,12,4.2,749.98,86.22,31.5,804.7,UPI
TR0000107,2024-04-03,P007,4,164.94,5,1.87,659.76,32.37,12.34,679.79,Cash
TR0000108,2024-04-03,P032,5,95.7,5,1.45,478.5,23.58,6.94,495.14,Card
TR0000109,2024-04-03,P028,1,84.6,12,1.09,84.6,10.04,0.92,93.72,Card
TR0000110,2024-04-03,P091,1,75.64,12,0.29,75.64,9.05,0.22,84.47,Cash
TR0000111,2024-04-03,P043,3,149.14,5,1.75,447.42,21.98,7.83,461.57,UPI
TR0000112,2024-04-03,P046,1,188.38,12,0.99,188.38,22.38,1.86,208.9,UPI
TR0000113,2024-04-03,P020,4,33.16,12,0.03,132.64,15.91,0.04,148.51,UPI
TR0000114,2024-04-03,P086,4,131.47,12,2.14,525.88,61.76,11.25,576.39,Cash
TR0000115,2024-04-03,P035,1,178.05,12,0.81,178.05,21.19,1.44,197.8,Card
TR0000116,2024-04-03,P001,3,88.94,5,0.55,266.82,13.27,1.47,278.62,Card
TR0000117,2024-04-03,P079,6,107.88,5,0.8,647.28,32.11,5.18,674.21,Cash
TR0000118,2024-04-03,P035,1,168.4,12,4.0,168.4,19.4,6.74,181.06,UPI
TR0000119,2024-04-03,P077,5,69.24,12,0.66,346.2,41.27,2.28,385.19,Cash
TR0000120,2024-04-03,P017,2,123.27,5,3.84,246.54,11.85,9.47,248.92,Cash
TR0000121,2024-04-03,P080,5,144.33,12,2.4,721.65,84.52,17.32,788.85,Card
TR0000122,2024-04-03,P080,2,142.64,5,1.25,285.28,14.09,3.57,295.8,Cash
TR0000123,2024-04-03,P032,6,95.42,5,2.37,572.52,27.95,13.57,586.9,Cash
TR0000124,2024-04-03,P090,5,199.91,5,1.15,999.55,49.4,11.49,1037.46,Cash
TR0000125,2024-04-03,P036,2,155.92,12,0.09,311.84,37.39,0.28,348.95,Cash
TR0000126,2024-04-03,P049,4,399.19,5,1.11,1596.76,78.95,17.72,1657.99,Card
TR0000127,2024-04-03,P091,4,73.52,12,0.55,294.08,35.1,1.62,327.56,Card
TR0000128,2024-04-03,P045,6,208.2,12,4.48,1249.2,143.19,55.96,1336.43,Cash
TR0000129,2024-04-03,P042,2,78.8,12,4.54,157.6,18.05,7.16,168.49,Cash
TR0000130,2024-04-03,P033,4,115.84,12,0.56,463.36,55.29,2.59,516.06,UPI
TR0000131,2024-04-03,P017,3,123.47,12,3.71,370.41,42.8,13.74,399.47,UPI
TR0000132,2024-04-03,P048,2,269.85,5,2.92,539.7,26.2,15.76,550.14,Cash
TR0000133,2024-04-03,P017,6,128.26,5,0.21,769.56,38.4,1.62,806.34,UPI
TR0000134,2024-04-03,P025,6,118.48,5,0.37,710.88,35.41,2.63,743.66,UPI
TR0000135,2024-04-03,P039,6,482.25,5,2.67,2893.5,140.81,77.26,2957.05,Cash
TR0000136,2024-04-03,P079,5,112.05,12,4.47,560.25,64.23,25.04,599.44,Card
TR0000137,2024-04-03,P016,4,170.52,12,2.62,682.08,79.71,17.87,743.92,UPI
TR0000138,2024-04-03,P022,5,158.18,5,1.45,790.9,38.97,11.47,818.4,UPI
TR0000139,2024-04-03,P076,4,430.81,5,0.83,1723.24,85.45,14.3,1794.39,UPI
TR0000140,2024-04-03,P050,4,45.12,5,0.92,180.48,8.94,1.66,187.76,Cash
TR0000141,2024-04-03,P002,5,47.27,12,1.52,236.35,27.93,3.59,260.69,Cash
TR0000142,2024-04-03,P035,5,163.27,5,0.23,816.35,40.72,1.88,855.19,Cash
TR0000143,2024-04-03,P019,3,157.81,12,4.37,473.43,54.33,20.69,507.07,Cash
TR0000144,2024-04-03,P032,2,92.78,5,3.24,185.56,8.98,6.01,188.53,UPI
TR0000145,2024-04-03,P048,3,254.78,12,3.61,764.34,88.41,27.59,825.16,Card
TR0000146,2024-04-04,P042,1,81.54,5,4.12,81.54,3.91,3.36,82.09,Cash
TR0000147,2024-04-04,P036,2,145.85,5,2.69,291.7,14.19,7.85,298.04,UPI
TR0000148,2024-04-04,P033,6,119.02,5,4.08,714.12,34.25,29.14,719.23,Cash
TR0000149,2024-04-04,P027,5,90.95,12,0.78,454.75,54.14,3.55,505.34,Cash
TR0000150,2024-04-04,P081,3,115.44,12,0.47,346.32,41.36,1.63,386.05,Cash
TR0000151,2024-04-04,P023,2,100.14,5,3.24,200.28,9.69,6.49,203.48,Cash
TR0000152,2024-04-04,P023,4,101.31,5,0.35,405.24,20.19,1.42,424.01,Cash
TR0000153,2024-04-04,P084,6,257.41,5,3.62,1544.46,74.43,55.91,1562.98,Cash
TR0000154,2024-04-04,P002,5,45.58,12,0.1,227.9,27.32,0.23,254.99,Cash
TR0000155,2024-04-04,P006,2,45.4,5,1.34,90.8,4.48,1.22,94.06,UPI
TR0000156,2024-04-04,P002,1,47.68,12,4.26,47.68,5.48,2.03,51.13,Cash
TR0000157,2024-04-04,P087,5,41.0,5,1.54,205.0,10.09,3.16,211.93,Card
TR0000158,2024-04-04,P008,5,163.21,5,0.11,816.05,40.76,0.9,855.91,Cash
TR0000159,2024-04-04,P014,5,167.11,12,0.71,835.55,99.55,5.93,929.17,Cash
TR0000160,2024-04-04,P050,2,43.99,12,1.13,87.98,10.44,0.99,97.43,UPI
TR0000161,2024-04-04,P015,4,61.02,5,1.12,244.08,12.07,2.73,253.42,Card
TR0000162,2024-04-04,P043,1,149.24,5,4.48,149.24,7.13,6.69,149.68,UPI
TR0000163,2024-04-04,P080,5,138.65,5,3.4,693.25,33.48,23.57,703.16,Cash
TR0000164,2024-04-04,P039,5,498.85,12,4.38,2494.25,286.2,109.25,2671.2,Card
TR0000165,2024-04-04,P048,3,274.12,5,3.94,822.36,39.5,32.4,829.46,Cash
TR0000166,2024-04-04,P019,3,146.01,12,3.61,438.03,50.67,15.81,472.89,Card
TR0000167,2024-04-04,P015,5,62.65,12,0.72,313.25,37.32,2.26,348.31,Card
TR0000168,2024-04-04,P024,4,63.68,12,2.12,254.72,29.92,5.4,279.24,UPI
TR0000169,2024-04-04,P043,2,155.92,5,1.92,311.84,15.29,5.99,321.14,UPI
TR0000170,2024-04-04,P094,4,451.47,5,1.92,1805.88,88.56,34.67,1859.77,UPI
TR0000171,2024-04-04,P093,5,398.31,5,3.52,1991.55,96.07,70.1,2017.52,Cash
TR0000172,2024-04-04,P027,1,88.54,12,4.79,88.54,10.12,4.24,94.42,Cash
TR0000173,2024-04-04,P047,2,32.9,5,4.18,65.8,3.15,2.75,66.2,UPI
TR0000174,2024-04-04,P079,2,106.56,5,0.28,213.12,10.63,0.6,223.15,Cash
TR0000175,2024-04-04,P019,4,154.87,12,1.86,619.48,72.96,11.52,680.92,UPI
TR0000176,2024-04-04,P010,4,145.27,5,0.15,581.08,29.01,0.87,609.22,Card
TR0000177,2024-04-04,P032,1,87.95,12,0.75,87.95,10.47,0.66,97.76,Cash
TR0000178,2024-04-04,P018,6,115.49,12,2.35,692.94,81.2,16.28,757.86,UPI
TR0000179,2024-04-04,P002,3,45.63,5,4.41,136.89,6.54,6.04,137.39,Cash
TR0000180,2024-04-04,P023,5,96.07,12,4.16,480.35,55.24,19.98,515.61,UPI
TR0000181,2024-04-04,P084,5,251.05,12,4.6,1255.25,143.7,57.74,1341.21,UPI
TR0000182,2024-04-04,P030,4,286.67,12,4.87,1146.68,130.9,55.84,1221.74,UPI
TR0000183,2024-04-04,P017,6,121.61,5,1.09,729.66,36.09,7.95,757.8,Cash
TR0000184,2024-04-04,P097,5,147.18,12,2.39,735.9,86.2,17.59,804.51,UPI
TR0000185,2024-04-04,P049,2,380.47,12,3.23,760.94,88.36,24.58,824.72,Cash
TR0000186,2024-04-04,P014,1,158.68,12,0.14,158.68,19.02,0.22,177.48,Card
TR0000187,2024-04-04,P014,1,156.25,5,3.78,156.25,7.52,5.91,157.86,Card
TR0000188,2024-04-04,P026,6,149.87,5,1.35,899.22,44.35,12.14,931.43,UPI
TR0000189,2024-04-04,P098,4,194.33,12,0.47,777.32,92.84,3.65,866.51,Card
TR0000190,2024-04-04,P046,3,205.2,5,1.57,615.6,30.3,9.66,636.24,Card
TR0000191,2024-04-04,P017,6,127.41,12,2.04,764.46,89.86,15.59,838.73,UPI
TR0000192,2024-04-04,P090,2,196.65,12,2.38,393.3,46.07,9.36,430.01,Cash
TR0000193,2024-04-04,P020,6,34.33,5,4.76,205.98,9.81,9.8,205.99,Cash
TR0000194,2024-04-04,P019,6,146.21,12,2.24,877.26,102.91,19.65,960.52,Cash
TR0000195,2024-04-05,P081,1,124.32,12,1.2,124.32,14.74,1.49,137.57,UPI
TR0000196,2024-04-05,P020,5,34.9,12,0.49,174.5,20.84,0.86,194.48,Cash
TR0000197,2024-04-05,P040,5,199.79,5,2.49,998.95,48.7,24.87,1022.78,Card
TR0000198,2024-04-05,P038,2,48.04,12,1.77,96.08,11.33,1.7,105.71,Cash
TR0000199,2024-04-05,P084,3,257.8,12,3.82,773.4,89.26,29.54,833.12,Card
TR0000200,2024-04-05,P018,1,120.6,12,0.2,120.6,14.44,0.24,134.8,Card
TR0000201,2024-04-05,P017,4,123.55,12,1.87,494.2,58.2,9.24,543.16,UPI
TR0000202,2024-04-05,P083,3,48.78,5,3.1,146.34,7.09,4.54,148.89,UPI
TR0000203,2024-04-05,P032,6,95.43,5,0.77,572.58,28.41,4.41,596.58,Cash
TR0000204,2024-04-05,P021,5,151.21,5,1.12,756.05,37.38,8.47,784.96,Card
TR0000205,2024-04-05,P045,4,209.26,12,0.55,837.04,99.89,4.6,932.33,Cash
TR0000206,2024-04-05,P076,4,410.29,12,0.32,1641.16,196.31,5.25,1832.22,Card
TR0000207,2024-04-05,P088,2,230.45,12,0.57,460.9,54.99,2.63,513.26,Card
TR0000208,2024-04-05,P020,4,33.24,5,1.6,132.96,6.54,2.13,137.37,Cash
TR0000209,2024-04-05,P049,1,415.58,12,3.95,415.58,47.9,16.42,447.06,Card
TR0000210,2024-04-05,P028,1,86.37,12,1.35,86.37,10.22,1.17,95.42,UPI
TR0000211,2024-04-05,P019,1,147.92,5,1.49,147.92,7.29,2.2,153.01,UPI
TR0000212,2024-04-05,P079,5,106.59,12,0.92,532.95,63.37,4.9,591.42,Cash
TR0000213,2024-04-05,P080,3,147.51,12,0.82,442.53,52.67,3.63,491.57,Card
TR0000214,2024-04-05,P087,4,39.59,5,4.83,158.36,7.54,7.65,158.25,Card
TR0000215,2024-04-05,P099,4,124.11,5,0.39,496.44,24.73,1.94,519.23,UPI
TR0000216,2024-04-05,P019,3,153.82,12,0.07,461.46,55.34,0.32,516.48,Card
TR0000217,2024-04-05,P089,3,90.7,12,1.31,272.1,32.22,3.56,300.76,UPI
TR0000218,2024-04-05,P083,2,47.64,5,0.18,95.28,4.76,0.17,99.87,UPI
TR0000219,2024-04-05,P079,6,110.24,5,3.0,661.44,32.08,19.84,673.68,Cash
TR0000220,2024-04-05,P025,6,120.05,5,1.85,720.3,35.35,13.33,742.32,Card
TR0000221,2024-04-05,P090,1,210.61,12,2.07,210.61,24.75,4.36,231.0,Card
TR0000222,2024-04-05,P095,4,120.98,12,0.57,483.92,57.74,2.76,538.9,Cash
TR0000223,2024-04-05,P048,2,267.26,5,2.71,534.52,26.0,14.49,546.03,Card
TR0000224,2024-04-05,P081,6,117.06,5,4.98,702.36,33.37,34.98,700.75,Cash
TR0000225,2024-04-05,P003,5,268.42,5,2.48,1342.1,65.44,33.28,1374.26,UPI
TR0000226,2024-04-05,P013,6,225.0,5,3.34,1350.0,65.25,45.09,1370.16,Card
TR0000227,2024-04-05,P084,5,242.93,5,4.28,1214.65,58.13,51.99,1220.79,Cash
TR0000228,2024-04-05,P085,4,237.78,12,0.04,951.12,114.09,0.38,1064.83,Card
TR0000229,2024-04-05,P090,3,201.69,12,1.54,605.07,71.49,9.32,667.24,Card
TR0000230,2024-04-05,P001,4,81.65,5,0.77,326.6,16.2,2.51,340.29,Card
TR0000231,2024-04-05,P092,6,61.22,12,0.85,367.32,43.7,3.12,407.9,UPI
TR0000232,2024-04-05,P031,5,235.77,5,3.08,1178.85,57.13,36.31,1199.67,Card
TR0000233,2024-04-05,P099,4,115.77,12,4.89,463.08,52.85,22.64,493.29,Cash
TR0000234,2024-04-05,P041,5,98.26,5,0.5,491.3,24.44,2.46,513.28,Cash
TR0000235,2024-04-05,P099,4,124.35,12,4.19,497.4,57.19,20.84,533.75,Cash
TR0000236,2024-04-05,P027,1,86.13,12,0.06,86.13,10.33,0.05,96.41,UPI
TR0000237,2024-04-05,P095,1,121.57,5,3.71,121.57,5.85,4.51,122.91,Cash
TR0000238,2024-04-05,P046,2,191.09,5,1.48,382.18,18.83,5.66,395.35,UPI
TR0000239,2024-04-05,P049,3,404.54,12,0.41,1213.62,145.04,4.98,1353.68,Cash
TR0000240,2024-04-05,P100,1,149.56,5,0.54,149.56,7.44,0.81,156.19,Card
TR0000241,2024-04-05,P024,1,61.9,12,4.56,61.9,7.09,2.82,66.17,Cash
TR0000242,2024-04-05,P088,1,223.93,12,4.8,223.93,25.58,10.75,238.76,Cash
TR0000243,2024-04-05,P079,4,114.01,12,4.04,456.04,52.51,18.42,490.13,Cash
TR0000244,2024-04-05,P023,6,100.12,5,0.59,600.72,29.86,3.54,627.04,Card
TR0000245,2024-04-05,P087,5,39.84,5,0.79,199.2,9.88,1.57,207.51,UPI
TR0000246,2024-04-06,P025,5,113.53,5,2.59,567.65,27.65,14.7,580.6,Cash
TR0000247,2024-04-06,P047,1,34.93,5,1.64,34.93,1.72,0.57,36.08,Cash
TR0000248,2024-04-06,P035,3,169.43,5,1.74,508.29,24.97,8.84,524.42,UPI
TR0000249,2024-04-06,P085,6,235.52,12,2.56,1413.12,165.23,36.18,1542.17,Card
TR0000250,2024-04-06,P033,2,113.89,12,4.81,227.78,26.02,10.96,242.84,Cash
TR0000251,2024-04-06,P040,2,198.38,12,2.17,396.76,46.58,8.61,434.73,Card
TR0000252,2024-04-06,P035,3,171.83,12,2.15,515.49,60.53,11.08,564.94,UPI
TR0000253,2024-04-06,P009,4,109.54,5,4.79,438.16,20.86,20.99,438.03,Card
TR0000254,2024-04-06,P038,5,51.85,12,1.99,259.25,30.49,5.16,284.58,Cash
TR0000255,2024-04-06,P042,4,82.87,12,1.23,331.48,39.29,4.08,366.69,Cash
TR0000256,2024-04-06,P048,2,273.29,5,0.05,546.58,27.32,0.27,573.63,UPI
TR0000257,2024-04-06,P028,4,83.19,12,4.49,332.76,38.14,14.94,355.96,UPI
TR0000258,2024-04-06,P028,5,80.3,12,3.58,401.5,46.46,14.37,433.59,UPI
TR0000259,2024-04-06,P081,3,123.4,5,0.99,370.2,18.33,3.66,384.87,Card
TR0000260,2024-04-06,P036,4,143.81,12,0.86,575.24,68.43,4.95,638.72,Card
TR0000261,2024-04-06,P031,5,214.33,5,3.22,1071.65,51.86,34.51,1089.0,UPI
TR0000262,2024-04-06,P085,3,220.03,12,0.19,660.09,79.06,1.25,737.9,UPI
TR0000263,2024-04-06,P006,3,47.24,5,2.35,141.72,6.92,3.33,145.31,Card
TR0000264,2024-04-06,P036,3,153.29,12,0.4,459.87,54.96,1.84,512.99,Card
TR0000265,2024-04-06,P007,4,161.68,12,2.47,646.72,75.69,15.97,706.44,UPI
TR0000266,2024-04-06,P016,3,186.02,5,0.15,558.06,27.86,0.84,585.08,Cash
TR0000267,2024-04-06,P018,1,120.85,12,1.13,120.85,14.34,1.37,133.82,Cash
TR0000268,2024-04-06,P048,5,278.88,5,1.3,1394.4,68.81,18.13,1445.08,Cash
TR0000269,2024-04-06,P010,3,138.13,12,1.35,414.39,49.06,5.59,457.86,Cash
TR0000270,2024-04-06,P100,4,149.7,12,4.31,598.8,68.76,25.81,641.75,UPI
TR0000271,2024-04-06,P078,6,88.16,5,2.61,528.96,25.76,13.81,540.91,Cash
TR0000272,2024-04-06,P088,3,221.86,12,1.13,665.58,78.97,7.52,737.03,Card
TR0000273,2024-04-06,P011,3,47.88,5,3.3,143.64,6.94,4.74,145.84,UPI
TR0000274,2024-04-06,P010,1,147.16,5,1.06,147.16,7.28,1.56,152.88,UPI
TR0000275,2024-04-06,P050,2,44.58,12,1.04,89.16,10.59,0.93,98.82,UPI
TR0000276,2024-04-06,P091,3,74.37,12,3.54,223.11,25.83,7.9,241.04,UPI
TR0000277,2024-04-06,P090,1,215.04,5,4.58,215.04,10.26,9.85,215.45,Card
TR0000278,2024-04-06,P091,2,74.51,5,0.34,149.02,7.43,0.51,155.94,Card
TR0000279,2024-04-06,P040,5,195.57,5,2.3,977.85,47.77,22.49,1003.13,Cash
TR0000280,2024-04-06,P031,1,233.98,5,1.33,233.98,11.54,3.11,242.41,Card
TR0000281,2024-04-06,P083,3,45.91,5,1.77,137.73,6.76,2.44,142.05,Cash
TR0000282,2024-04-06,P090,4,206.65,5,2.21,826.6,40.42,18.27,848.75,Card
TR0000283,2024-04-06,P049,6,415.24,5,1.47,2491.44,122.74,36.62,2577.56,Card
TR0000284,2024-04-06,P036,5,151.11,12,0.55,755.55,90.17,4.16,841.56,Cash
TR0000285,2024-04-06,P015,2,60.68,5,2.88,121.36,5.89,3.5,123.75,Cash
TR0000286,2024-04-06,P036,2,155.22,12,1.96,310.44,36.52,6.08,340.88,Cash
TR0000287,2024-04-06,P035,4,164.74,5,1.74,658.96,32.37,11.47,679.86,Card
