stock_movement_id,date,product_id,movement_type,quantity_boxes,reference_id
SM000169,2025-02-06,P004,Purchase_In,70,PUR00169
SM000170,2025-02-06,P043,Purchase_In,98,PUR00170
SM000171,2025-02-06,P014,Purchase_In,68,PUR00171
SM000172,2025-02-06,P063,Purchase_In,19,PUR00172
SM000173,2025-02-07,P067,Purchase_In,90,PUR00173
SM000174,2025-02-07,P096,Purchase_In,75,PUR00174
SM000175,2025-02-11,P031,Purchase_In,34,PUR00175
SM000176,2025-02-11,P090,Purchase_In,41,PUR00176
SM000177,2025-02-12,P018,Purchase_In,14,PUR00177
SM000178,2025-02-12,P058,Purchase_In,41,PUR00178
SM000179,2025-02-14,P060,Purchase_In,110,PUR00179
SM000180,2025-02-14,P088,Purchase_In,106,PUR00180
SM000181,2025-02-14,P028,Purchase_In,19,PUR00181
SM000182,2025-02-17,P034,Purchase_In,4,PUR00182
SM000183,2025-02-17,P072,Purchase_In,32,PUR00183
SM000184,2025-02-17,P018,Purchase_In,2,PUR00184
SM000185,2025-02-18,P048,Purchase_In,83,PUR00185
SM000186,2025-02-18,P010,Purchase_In,9,PUR00186
SM000187,2025-02-18,P017,Purchase_In,116,PUR00187
SM000188,2025-02-18,P016,Purchase_In,60,PUR00188
SM000189,2025-02-21,P023,Purchase_In,28,PUR00189
SM000190,2025-02-21,P036,Purchase_In,114,PUR00190
SM000191,2025-02-21,P083,Purchase_In,64,PUR00191
SM000192,2025-02-21,P008,Purchase_In,36,PUR00192
SM000193,2025-02-22,P081,Purchase_In,102,PUR00193
SM000194,2025-02-22,P092,Purchase_In,62,PUR00194
SM000195,2025-02-27,P004,Purchase_In,8,PUR00195
SM000196,2025-02-27,P068,Purchase_In,99,PUR00196
SM000197,2025-03-01,P035,Purchase_In,105,PUR00197
SM000198,2025-03-01,P098,Purchase_In,74,PUR00198
SM000199,2025-03-05,P095,Purchase_In,117,PUR00199
SM000200,2025-03-05,P073,Purchase_In,19,PUR00200
SM000201,2025-03-05,P064,Purchase_In,40,PUR00201
SM000202,2025-03-06,P078,Purchase_In,3,PUR00202
SM000203,2025-03-06,P043,Purchase_In,26,PUR00203
SM000204,2025-03-11,P100,Purchase_In,109,PUR00204
SM000205,2025-03-11,P010,Purchase_In,91,PUR00205
SM000206,2025-03-31,P090,Purchase_In,51,PUR00206
SM000207,2025-04-01,P079,Purchase_In,82,PUR00207
SM000208,2025-04-01,P019,Purchase_In,96,PUR00208
SM000209,2025-04-01,P041,Purchase_In,82,PUR00209
SM000210,2025-04-06,P032,Purchase_In,45,PUR00210
SM000211,2025-04-06,P093,Purchase_In,7,PUR00211
SM000212,2025-04-12,P074,Purchase_In,21,PUR00212
SM000213,2025-04-12,P038,Purchase_In,41,PUR00213
SM000214,2025-04-12,P010,Purchase_In,22,PUR00214
SM000215,2025-04-12,P094,Purchase_In,71,PUR00215
SM000216,2025-04-21,P027,Purchase_In,53,PUR00216
SM000217,2025-04-21,P085,Purchase_In,39,PUR00217
SM000218,2025-04-21,P051,Purchase_In,71,PUR00218
SM000219,2025-04-22,P055,Purchase_In,38,PUR00219
SM000220,2025-04-23,P027,Purchase_In,82,PUR00220
SM000221,2025-04-25,P061,Purchase_In,115,PUR00221
SM000222,2025-04-25,P083,Purchase_In,50,PUR00222
SM000223,2025-04-25,P048,Purchase_In,34,PUR00223
SM000224,2025-04-25,P029,Purchase_In,73,PUR00224
SM000225,2025-04-26,P070,Purchase_In,97,PUR00225
SM000226,2025-04-26,P050,Purchase_In,54,PUR00226
SM000227,2025-04-26,P074,Purchase_In,61,PUR00227
SM000228,2024-04-19,P019,Wholesale_Out,1,INV000001
SM000229,2024-04-14,P056,Wholesale_Out,1,INV000002
SM000230,2024-04-03,P050,Wholesale_Out,3,INV000003
SM000231,2024-04-20,P067,Wholesale_Out,5,INV000004
SM000232,2024-04-30,P073,Wholesale_Out,5,INV000005
SM000233,2024-04-19,P061,Wholesale_Out,1,INV000006
SM000234,2024-04-29,P031,Wholesale_Out,1,INV000007
SM000235,2024-04-09,P013,Wholesale_Out,30,INV000008
SM000236,2024-04-14,P012,Wholesale_Out,1,INV000009
SM000237,2024-04-02,P021,Wholesale_Out,1,INV000010
SM000238,2024-04-27,P008,Wholesale_Out,1,INV000011
SM000239,2024-04-13,P016,Wholesale_Out,4,INV000012
SM000240,2024-04-12,P021,Wholesale_Out,6,INV000013
SM000241,2024-04-19,P028,Wholesale_Out,6,INV000014
SM000242,2024-04-25,P002,Wholesale_Out,2,INV000015
SM000243,2024-04-23,P036,Wholesale_Out,2,INV000016
SM000244,2024-04-20,P075,Wholesale_Out,1,INV000017
SM000245,2024-04-22,P062,Wholesale_Out,1,INV000018
SM000246,2024-04-10,P020,Wholesale_Out,3,INV000019
SM000247,2024-04-01,P064,Wholesale_Out,100,INV000020
SM000248,2024-04-27,P044,Wholesale_Out,4,INV000021
SM000249,2024-04-28,P072,Wholesale_Out,1,INV000022
SM000250,2024-04-22,P012,Wholesale_Out,1,INV000023
SM000251,2024-04-10,P016,Wholesale_Out,2,INV000024
SM000252,2024-04-28,P049,Wholesale_Out,3,INV000025
SM000253,2024-04-19,P019,Wholesale_Out,2,INV000026
SM000254,2024-04-02,P058,Wholesale_Out,1,INV000027
SM000255,2024-04-20,P055,Wholesale_Out,2,INV000028
SM000256,2024-04-29,P068,Wholesale_Out,1,INV000029
SM000257,2024-04-04,P065,Wholesale_Out,3,INV000030
SM000258,2024-04-17,P056,Wholesale_Out,6,INV000031
SM000259,2024-04-30,P003,Wholesale_Out,1,INV000032
SM000260,2024-04-23,P005,Wholesale_Out,2,INV000033
SM000261,2024-04-21,P007,Wholesale_Out,4,INV000034
SM000262,2024-04-22,P002,Wholesale_Out,2,INV000035
SM000263,2024-04-29,P066,Wholesale_Out,4,INV000036
SM000264,2024-04-27,P026,Wholesale_Out,2,INV000037
SM000265,2024-04-11,P001,Wholesale_Out,1,INV000038
SM000266,2024-04-17,P013,Wholesale_Out,10,INV000039
SM000267,2024-04-28,P038,Wholesale_Out,2,INV000040
SM000268,2024-04-28,P022,Wholesale_Out,2,INV000041
SM000269,2024-04-06,P052,Wholesale_Out,2,INV000042
SM000270,2024-04-26,P015,Wholesale_Out,1,INV000043
SM000271,2024-04-19,P057,Wholesale_Out,1,INV000044
SM000272,2024-04-29,P062,Wholesale_Out,10,INV000045
SM000273,2024-04-28,P068,Wholesale_Out,5,INV000046
SM000274,2024-04-20,P056,Wholesale_Out,4,INV000047
SM000275,2024-04-29,P007,Wholesale_Out,1,INV000048
SM000276,2024-04-16,P031,Wholesale_Out,2,INV000049
SM000277,2024-04-15,P074,Wholesale_Out,2,INV000050
SM000278,2024-04-13,P005,Wholesale_Out,2,INV000051
SM000279,2024-04-21,P059,Wholesale_Out,20,INV000052
SM000280,2024-04-20,P047,Wholesale_Out,4,INV000053
SM000281,2024-04-26,P071,Wholesale_Out,3,INV000054
SM000282,2024-04-14,P033,Wholesale_Out,3,INV000055
SM000283,2024-05-04,P054,Wholesale_Out,1,INV000056
SM000284,2024-05-31,P018,Wholesale_Out,29,INV000057
SM000285,2024-05-30,P075,Wholesale_Out,1,INV000058
SM000286,2024-05-13,P032,Wholesale_Out,1,INV000059
SM000287,2024-05-29,P066,Wholesale_Out,1,INV000060
SM000288,2024-05-07,P038,Wholesale_Out,4,INV000061
SM000289,2024-05-23,P042,Wholesale_Out,4,INV000062
SM000290,2024-05-24,P037,Wholesale_Out,6,INV000063
SM000291,2024-05-07,P021,Wholesale_Out,50,INV000064
SM000292,2024-05-02,P058,Wholesale_Out,1,INV000065
SM000293,2024-05-26,P037,Wholesale_Out,2,INV000066
SM000294,2024-05-09,P057,Wholesale_Out,5,INV000067
SM000295,2024-05-07,P025,Wholesale_Out,1,INV000068
SM000296,2024-05-02,P036,Wholesale_Out,3,INV000069
SM000297,2024-05-02,P042,Wholesale_Out,3,INV000070
SM000298,2024-05-03,P041,Wholesale_Out,3,INV000071
SM000299,2024-05-12,P028,Wholesale_Out,4,INV000072
SM000300,2024-05-21,P015,Wholesale_Out,4,INV000073
SM000301,2024-05-29,P049,Wholesale_Out,10,INV000074
SM000302,2024-05-25,P066,Wholesale_Out,5,INV000075
SM000303,2024-05-06,P069,Wholesale_Out,3,INV000076
SM000304,2024-05-04,P069,Wholesale_Out,5,INV000077
SM000305,2024-05-05,P059,Wholesale_Out,3,INV000078
SM000306,2024-05-09,P050,Wholesale_Out,2,INV000079
SM000307,2024-05-20,P075,Wholesale_Out,1,INV000080
SM000308,2024-05-03,P057,Wholesale_Out,2,INV000081
SM000309,2024-05-26,P038,Wholesale_Out,30,INV000082
SM000310,2024-05-28,P019,Wholesale_Out,1,INV000083
SM000311,2024-05-12,P053,Wholesale_Out,10,INV000084
SM000312,2024-05-06,P073,Wholesale_Out,6,INV000085
SM000313,2024-05-03,P013,Wholesale_Out,1,INV000086
SM000314,2024-05-20,P025,Wholesale_Out,2,INV000087
SM000315,2024-05-26,P055,Wholesale_Out,1,INV000088
SM000316,2024-05-05,P043,Wholesale_Out,6,INV000089
SM000317,2024-05-03,P018,Wholesale_Out,10,INV000090
SM000318,2024-05-17,P004,Wholesale_Out,5,INV000091
SM000319,2024-05-18,P020,Wholesale_Out,2,INV000092
SM000320,2024-05-03,P047,Wholesale_Out,3,INV000093
SM000321,2024-05-06,P073,Wholesale_Out,20,INV000094
SM000322,2024-05-25,P030,Wholesale_Out,1,INV000095
SM000323,2024-06-15,P006,Wholesale_Out,50,INV000096
SM000324,2024-06-19,P073,Wholesale_Out,1,INV000097
SM000325,2024-06-30,P067,Wholesale_Out,2,INV000098
SM000326,2024-06-15,P030,Wholesale_Out,1,INV000099
SM000327,2024-06-22,P054,Wholesale_Out,5,INV000100
SM000328,2024-06-14,P032,Wholesale_Out,1,INV000101
SM000329,2024-06-06,P024,Wholesale_Out,3,INV000102
SM000330,2024-06-10,P028,Wholesale_Out,2,INV000103
SM000331,2024-06-19,P024,Wholesale_Out,3,INV000104
SM000332,2024-06-08,P050,Wholesale_Out,1,INV000105
SM000333,2024-06-02,P065,Wholesale_Out,5,INV000106
SM000334,2024-06-22,P056,Wholesale_Out,3,INV000107
SM000335,2024-06-25,P045,Wholesale_Out,3,INV000108
SM000336,2024-06-25,P011,Wholesale_Out,1,INV000109
SM000337,2024-06-17,P067,Wholesale_Out,1,INV000110
SM000338,2024-06-19,P034,Wholesale_Out,6,INV000111
SM000339,2024-06-18,P062,Wholesale_Out,1,INV000112
SM000340,2024-06-05,P016,Wholesale_Out,4,INV000113
SM000341,2024-06-26,P007,Wholesale_Out,1,INV000114
SM000342,2024-06-03,P034,Wholesale_Out,1,INV000115
SM000343,2024-06-10,P008,Wholesale_Out,20,INV000116
SM000344,2024-06-17,P025,Wholesale_Out,1,INV000117
SM000345,2024-06-21,P021,Wholesale_Out,1,INV000118
SM000346,2024-06-24,P009,Wholesale_Out,10,INV000119
SM000347,2024-06-09,P025,Wholesale_Out,2,INV000120
SM000348,2024-06-10,P015,Wholesale_Out,5,INV000121
SM000349,2024-06-16,P032,Wholesale_Out,5,INV000122
SM000350,2024-06-09,P049,Wholesale_Out,3,INV000123
SM000351,2024-06-18,P034,Wholesale_Out,1,INV000124
SM000352,2024-06-12,P074,Wholesale_Out,1,INV000125
SM000353,2024-06-28,P027,Wholesale_Out,1,INV000126
SM000354,2024-06-22,P064,Wholesale_Out,3,INV000127
SM000355,2024-06-29,P036,Wholesale_Out,2,INV000128
SM000356,2024-06-17,P062,Wholesale_Out,18,INV000129
SM000357,2024-06-17,P041,Wholesale_Out,3,INV000130
SM000358,2024-06-18,P031,Wholesale_Out,1,INV000131
SM000359,2024-06-12,P052,Wholesale_Out,1,INV000132
SM000360,2024-06-26,P072,Wholesale_Out,2,INV000133
SM000361,2024-06-16,P067,Wholesale_Out,3,INV000134
SM000362,2024-06-23,P008,Wholesale_Out,1,INV000135
SM000363,2024-06-18,P033,Wholesale_Out,2,INV000136
SM000364,2024-06-21,P023,Wholesale_Out,30,INV000137
SM000365,2024-06-13,P037,Wholesale_Out,2,INV000138
SM000366,2024-06-19,P010,Wholesale_Out,1,INV000139
SM000367,2024-06-09,P047,Wholesale_Out,4,INV000140
SM000368,2024-06-22,P011,Wholesale_Out,1,INV000141
SM000369,2024-06-25,P014,Wholesale_Out,1,INV000142
SM000370,2024-06-21,P017,Wholesale_Out,3,INV000143
SM000371,2024-06-28,P035,Wholesale_Out,3,INV000144
SM000372,2024-06-21,P056,Wholesale_Out,3,INV000145
SM000373,2024-06-10,P053,Wholesale_Out,1,INV000146
SM000374,2024-06-30,P062,Wholesale_Out,1,INV000147
SM000375,2024-06-14,P056,Wholesale_Out,2,INV000148
SM000376,2024-06-21,P067,Wholesale_Out,5,INV000149
SM000377,2024-06-09,P025,Wholesale_Out,6,INV000150
SM000378,2024-06-16,P042,Wholesale_Out,1,INV000151
SM000379,2024-06-01,P012,Wholesale_Out,1,INV000152
SM000380,2024-06-23,P043,Wholesale_Out,1,INV000153
SM000381,2024-06-07,P049,Wholesale_Out,5,INV000154
SM000382,2024-07-07,P013,Wholesale_Out,3,INV000155
SM000383,2024-07-24,P071,Wholesale_Out,3,INV000156
SM000384,2024-07-04,P056,Wholesale_Out,2,INV000157
SM000385,2024-07-19,P061,Wholesale_Out,4,INV000158
SM000386,2024-07-30,P008,Wholesale_Out,1,INV000159
SM000387,2024-07-26,P045,Wholesale_Out,5,INV000160
SM000388,2024-07-02,P057,Wholesale_Out,3,INV000161
SM000389,2024-07-09,P071,Wholesale_Out,1,INV000162
SM000390,2024-07-17,P024,Wholesale_Out,6,INV000163
SM000391,2024-07-18,P025,Wholesale_Out,3,INV000164
SM000392,2024-07-04,P009,Wholesale_Out,1,INV000165
SM000393,2024-07-19,P050,Wholesale_Out,4,INV000166
SM000394,2024-07-01,P063,Wholesale_Out,10,INV000167
SM000395,2024-07-14,P008,Wholesale_Out,5,INV000168
SM000396,2024-07-17,P013,Wholesale_Out,4,INV000169
SM000397,2024-07-18,P072,Wholesale_Out,2,INV000170
SM000398,2024-07-04,P024,Wholesale_Out,3,INV000171
SM000399,2024-07-11,P042,Wholesale_Out,6,INV000172
SM000400,2024-07-13,P071,Wholesale_Out,10,INV000173
SM000401,2024-07-10,P003,Wholesale_Out,3,INV000174
SM000402,2024-07-25,P036,Wholesale_Out,10,INV000175
SM000403,2024-07-05,P047,Wholesale_Out,6,INV000176
SM000404,2024-07-24,P042,Wholesale_Out,5,INV000177
SM000405,2024-07-21,P005,Wholesale_Out,4,INV000178
SM000406,2024-07-14,P016,Wholesale_Out,6,INV000179
SM000407,2024-07-02,P068,Wholesale_Out,1,INV000180
SM000408,2024-07-13,P074,Wholesale_Out,3,INV000181
SM000409,2024-07-24,P071,Wholesale_Out,2,INV000182
SM000410,2024-07-16,P074,Wholesale_Out,1,INV000183
SM000411,2024-07-22,P012,Wholesale_Out,1,INV000184
SM000412,2024-07-10,P045,Wholesale_Out,3,INV000185
SM000413,2024-08-12,P011,Wholesale_Out,1,INV000186
SM000414,2024-08-15,P003,Wholesale_Out,2,INV000187
SM000415,2024-08-24,P003,Wholesale_Out,2,INV000188
SM000416,2024-08-20,P007,Wholesale_Out,2,INV000189
SM000417,2024-08-28,P003,Wholesale_Out,1,INV000190
SM000418,2024-08-16,P069,Wholesale_Out,1,INV000191
SM000419,2024-08-17,P043,Wholesale_Out,2,INV000192
SM000420,2024-08-17,P008,Wholesale_Out,3,INV000193
SM000421,2024-08-11,P018,Wholesale_Out,1,INV000194
SM000422,2024-08-19,P055,Wholesale_Out,30,INV000195
SM000423,2024-08-22,P018,Wholesale_Out,2,INV000196
SM000424,2024-08-21,P021,Wholesale_Out,2,INV000197
SM000425,2024-08-01,P041,Wholesale_Out,6,INV000198
SM000426,2024-08-24,P020,Wholesale_Out,5,INV000199
SM000427,2024-08-20,P030,Wholesale_Out,4,INV000200
SM000428,2024-08-21,P024,Wholesale_Out,6,INV000201
SM000429,2024-08-30,P053,Wholesale_Out,1,INV000202
SM000430,2024-08-28,P063,Wholesale_Out,4,INV000203
SM000431,2024-08-13,P041,Wholesale_Out,2,INV000204
SM000432,2024-08-17,P058,Wholesale_Out,2,INV000205
SM000433,2024-08-18,P067,Wholesale_Out,5,INV000206
SM000434,2024-08-15,P055,Wholesale_Out,1,INV000207
SM000435,2024-08-17,P024,Wholesale_Out,5,INV000208
SM000436,2024-08-15,P026,Wholesale_Out,6,INV000209
SM000437,2024-08-04,P015,Wholesale_Out,4,INV000210
SM000438,2024-08-31,P049,Wholesale_Out,2,INV000211
SM000439,2024-08-05,P007,Wholesale_Out,2,INV000212
SM000440,2024-08-31,P001,Wholesale_Out,3,INV000213
SM000441,2024-08-08,P061,Wholesale_Out,2,INV000214
SM000442,2024-08-18,P007,Wholesale_Out,1,INV000215
SM000443,2024-08-30,P007,Wholesale_Out,1,INV000216
SM000444,2024-08-26,P023,Wholesale_Out,30,INV000217
SM000445,2024-08-13,P055,Wholesale_Out,4,INV000218
SM000446,2024-08-07,P027,Wholesale_Out,3,INV000219
SM000447,2024-08-20,P037,Wholesale_Out,2,INV000220
SM000448,2024-08-19,P067,Wholesale_Out,4,INV000221
SM000449,2024-08-04,P060,Wholesale_Out,3,INV000222
SM000450,2024-08-18,P028,Wholesale_Out,1,INV000223
SM000451,2024-08-01,P043,Wholesale_Out,2,INV000224
SM000452,2024-08-30,P062,Wholesale_Out,10,INV000225
SM000453,2024-08-29,P060,Wholesale_Out,5,INV000226
SM000454,2024-08-18,P027,Wholesale_Out,3,INV000227
SM000455,2024-08-11,P069,Wholesale_Out,6,INV000228
SM000456,2024-08-28,P005,Wholesale_Out,1,INV000229
